Event,Round,White,Black,Result,WhiteElo,WhiteTitle,WhiteFideId,BlackElo,BlackTitle,BlackFideId,Variant,ECO,Opening,Move Number,Move,Color,Evaluation,Time
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,28,Nd2,White,-1.28,0:17:41
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,28,Be2,Black,-1.23,0:41:26
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,29,Kb4,White,-1.35,0:13:35
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,29,b6,Black,-1.26,0:41:53
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,30,Kc3,White,-1.36,0:13:31
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,30,h5,Black,-1.53,0:34:59
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,31,Kb4,White,-1.53,0:13:56
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,31,h4,Black,-1.54,0:33:55
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,32,gxh4,White,-1.38,0:11:49
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,32,gxh4,Black,-1.36,0:34:18
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,33,a3,White,-1.15,0:05:11
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,33,f5,Black,-0.9,0:30:49
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,34,f3,White,-5.27,0:03:51
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,34,f4,Black,-5.03,0:26:41
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,35,e4,White,-5.14,0:02:47
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,35,dxe4,Black,-5.63,0:27:03
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,36,Nxe4,White,-5.57,0:03:04
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,36,Bf1,Black,-5.29,0:27:26
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,37,d5,White,-5.59,0:00:40
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,37,Bxg2,Black,-5.5,0:27:36
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,38,d6+,White,-5.97,0:00:35
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,38,Kd7,Black,-5.93,0:27:25
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,39,Kc4,White,-5.76,0:00:41
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,39,Bxf3,Black,-5.61,0:27:29
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,40,Kd4,White,-7.81,
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",1,Nf3,White,0.14,1:30:04
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",1,Nf6,Black,0.23,1:30:02
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",2,c4,White,0.12,1:30:27
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",2,d6,Black,0.47,1:29:04
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",3,d4,White,0.5,1:30:48
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",3,g6,Black,0.4,1:28:33
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",4,Nc3,White,0.38,1:31:13
